gameid,home,team,playerid,name,matchupSEC,partialPOS,switcheson,playerPTS,DRB,matchupAST,matchupTOV,STL,BLK,matchupFGM,matchupFGA,matchupFGpct,matchup3PM,matchup3PA,matchup3Ppct
22200001,True,BOS,1627759,Jaylen Brown,978,76.7,0,13,3,2,1,2,1,5,9,0.556,3,4,0.75
22200001,True,BOS,1628369,Jayson Tatum,999,76.1,0,14,12,1,3,1,1,6,10,0.6,2,4,0.5
22200001,True,BOS,201143,Al Horford,576,44.8,0,25,4,0,2,0,0,10,18,0.556,1,5,0.2
22200001,True,BOS,1628401,Derrick White,591,49.2,0,10,2,1,1,1,0,4,10,0.4,1,3,0.333
22200001,True,BOS,203935,Marcus Smart,929,73.0,0,14,2,3,1,1,0,6,10,0.6,2,3,0.667
22200001,True,BOS,203943,Noah Vonleh,494,40.1,0,8,2,4,5,1,1,3,8,0.375,1,3,0.333
22200001,True,BOS,1629684,Grant Williams,595,48.0,0,17,1,3,1,0,0,6,9,0.667,2,3,0.667
22200001,True,BOS,1627763,Malcolm Brogdon,610,48.1,0,11,1,0,1,2,0,3,11,0.273,2,7,0.286
22200001,True,BOS,201933,Blake Griffin,198,17.0,0,6,3,1,1,0,0,1,2,0.5,0,1,0.0
22200001,True,BOS,1630573,Sam Hauser,66,7.0,0,4,0,0,0,0,0,1,1,1.0,0,0,0.0
22200001,False,PHI,202699,Tobias Harris,774,67.0,0,9,1,4,1,3,0,4,8,0.5,0,1,0.0
22200001,False,PHI,200782,P.J. Tucker,722,63.9,0,11,2,3,0,0,1,4,9,0.444,1,5,0.2
22200001,False,PHI,203954,Joel Embiid,827,72.9,0,34,14,2,1,0,1,13,21,0.619,3,6,0.5
22200001,False,PHI,1630178,Tyrese Maxey,839,74.9,0,12,1,4,3,2,0,5,10,0.5,0,3,0.0
22200001,False,PHI,201935,James Harden,851,72.8,0,25,8,4,0,0,0,11,19,0.579,2,6,0.333
22200001,False,PHI,1626149,Montrezl Harrell,254,21.0,0,5,0,0,0,0,1,2,5,0.4,0,2,0.0
22200001,False,PHI,1629001,De'Anthony Melton,470,40.0,0,20,0,3,4,1,0,7,8,0.875,2,3,0.667
22200001,False,PHI,1627863,Danuel House Jr.,371,31.0,0,5,1,1,0,2,0,1,4,0.25,1,2,0.5
22200001,False,PHI,1627777,Georges Niang,275,24.0,0,4,0,2,0,0,0,1,2,0.5,1,2,0.5
22200001,False,PHI,1629680,Matisse Thybulle,19,2.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
22200002,True,GSW,203952,Andrew Wiggins,727,69.9,0,18,5,5,2,1,1,6,13,0.462,2,5,0.4
22200002,True,GSW,203110,Draymond Green,654,61.3,0,4,5,0,2,0,0,2,10,0.2,0,3,0.0
22200002,True,GSW,1626172,Kevon Looney,522,48.9,0,15,4,2,0,1,0,6,15,0.4,1,3,0.333
22200002,True,GSW,202691,Klay Thompson,510,45.0,0,4,2,2,4,1,0,2,6,0.333,0,2,0.0
22200002,True,GSW,201939,Stephen Curry,806,77.3,0,8,5,4,3,4,1,4,9,0.444,0,4,0.0
22200002,True,GSW,1629673,Jordan Poole,752,67.2,0,11,2,0,3,2,0,4,10,0.4,1,5,0.2
22200002,True,GSW,1630164,James Wiseman,436,37.0,0,15,6,3,1,0,1,6,10,0.6,1,2,0.5
22200002,True,GSW,203210,JaMychal Green,542,49.9,0,15,2,2,1,1,0,6,10,0.6,3,7,0.429
22200002,True,GSW,1630228,Jonathan Kuminga,350,28.2,0,7,2,0,1,0,1,3,8,0.375,1,5,0.2
22200002,True,GSW,1628978,Donte DiVincenzo,501,44.7,0,10,2,0,3,1,0,4,13,0.308,0,6,0.0
22200002,True,GSW,1630541,Moses Moody,193,16.7,0,2,1,0,0,0,0,1,1,1.0,0,0,0.0
22200002,True,GSW,1631157,Ryan Rollins,32,3.7,0,2,1,1,0,0,0,0,0,0.0,0,0,0.0
22200002,False,LAL,1629022,Lonnie Walker IV,626,67.9,0,12,2,4,1,1,1,5,10,0.5,2,5,0.4
22200002,False,LAL,2544,LeBron James,760,83.0,0,16,10,1,3,0,0,6,8,0.75,4,5,0.8
22200002,False,LAL,203076,Anthony Davis,793,85.4,0,13,6,10,1,4,1,6,15,0.4,1,6,0.167
22200002,False,LAL,201566,Russell Westbrook,681,72.9,0,7,10,2,2,1,0,3,6,0.5,1,2,0.5
22200002,False,LAL,201976,Patrick Beverley,563,54.5,0,21,1,5,1,4,2,7,13,0.538,3,6,0.5
22200002,False,LAL,1630559,Austin Reaves,376,39.1,0,7,0,1,4,0,0,3,12,0.25,0,7,0.0
22200002,False,LAL,1629134,Kendrick Nunn,506,55.4,0,18,3,7,1,1,0,6,14,0.429,2,5,0.4
22200002,False,LAL,1629308,Juan Toscano-Anderson,330,33.0,0,2,4,2,1,0,0,1,5,0.2,0,2,0.0
22200002,False,LAL,1629117,Wenyen Gabriel,162,16.4,0,6,0,0,0,0,0,3,6,0.5,0,0,0.0
22200002,False,LAL,1630346,Matt Ryan,409,40.2,0,15,1,0,1,1,0,5,13,0.385,3,6,0.5
22200002,False,LAL,1631306,Cole Swider,57,4.0,0,0,1,0,0,0,0,0,1,0.0,0,1,0.0
22200002,False,LAL,1630590,Scotty Pippen Jr.,57,4.1,0,0,0,0,0,0,0,0,1,0.0,0,0,0.0
22200002,False,LAL,1631108,Max Christie,57,4.0,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0
22200003,True,DET,1630180,Saddiq Bey,710,63.2,0,15,3,2,2,1,0,6,9,0.667,1,2,0.5
22200003,True,DET,202711,Bojan Bogdanovic,814,71.0,0,20,4,3,3,1,0,9,13,0.692,2,2,1.0
22200003,True,DET,1630191,Isaiah Stewart,621,56.0,0,23,5,5,1,2,0,10,17,0.588,3,6,0.5
22200003,True,DET,1630595,Cade Cunningham,804,71.1,0,16,1,1,3,1,0,6,14,0.429,3,8,0.375
22200003,True,DET,1631093,Jaden Ivey,737,65.0,0,18,2,2,3,3,0,7,9,0.778,3,3,1.0
22200003,True,DET,1630165,Killian Hayes,396,33.1,0,5,5,1,2,3,1,2,9,0.222,1,4,0.25
22200003,True,DET,1631105,Jalen Duren,517,43.0,0,12,5,3,2,0,3,6,14,0.429,0,3,0.0
22200003,True,DET,1628995,Kevin Knox II,323,28.1,0,3,3,1,0,0,0,1,4,0.25,1,2,0.5
22200003,True,DET,202709,Cory Joseph,380,31.9,0,7,1,0,0,0,0,2,6,0.333,0,1,0.0
22200003,True,DET,1628977,Hamidou Diallo,385,32.9,0,5,0,0,0,0,0,1,4,0.25,1,2,0.5
22200003,False,ORL,1631094,Paolo Banchero,850,71.2,0,16,7,4,3,0,2,6,17,0.353,2,5,0.4
