gameid,date,home,h_pts,away,a_pts,ot,type
22200001,2022-10-18T19:30:00Z,BOS,126,PHI,117,0,regular
22200002,2022-10-18T22:00:00Z,GSW,123,LAL,109,0,regular
22200003,2022-10-19T19:00:00Z,DET,113,ORL,109,0,regular
22200004,2022-10-19T19:00:00Z,IND,107,WAS,114,0,regular
22200008,2022-10-19T19:30:00Z,TOR,108,CLE,105,0,regular
22200007,2022-10-19T19:30:00Z,MIA,108,CHI,116,0,regular
22200009,2022-10-19T19:30:00Z,MEM,115,NYK,112,1,regular
22200005,2022-10-19T19:30:00Z,ATL,117,HOU,107,0,regular
22200006,2022-10-19T19:30:00Z,BKN,108,NOP,130,0,regular
22200010,2022-10-19T20:00:00Z,MIN,115,OKC,108,0,regular
22200011,2022-10-19T20:00:00Z,SAS,102,CHA,129,0,regular
22200012,2022-10-19T21:00:00Z,UTA,123,DEN,102,0,regular
22200013,2022-10-19T22:00:00Z,PHX,107,DAL,105,0,regular
22200014,2022-10-19T22:00:00Z,SAC,108,POR,115,0,regular
22200015,2022-10-20T19:30:00Z,PHI,88,MIL,90,0,regular
22200016,2022-10-20T22:00:00Z,LAL,97,LAC,103,0,regular
22200018,2022-10-21T19:00:00Z,IND,134,SAS,137,0,regular
22200019,2022-10-21T19:00:00Z,WAS,102,CHI,100,0,regular
22200017,2022-10-21T19:00:00Z,CHA,112,NOP,124,0,regular
22200020,2022-10-21T19:30:00Z,ATL,108,ORL,98,0,regular
22200021,2022-10-21T19:30:00Z,BKN,109,TOR,105,0,regular
22200022,2022-10-21T19:30:00Z,MIA,104,BOS,111,0,regular
22200023,2022-10-21T19:30:00Z,NYK,130,DET,106,0,regular
22200024,2022-10-21T20:00:00Z,HOU,122,MEM,129,0,regular
22200025,2022-10-21T20:00:00Z,MIN,126,UTA,132,1,regular
22200027,2022-10-21T22:00:00Z,POR,113,PHX,111,1,regular
22200026,2022-10-21T22:00:00Z,GSW,123,DEN,128,0,regular
22200028,2022-10-22T18:00:00Z,PHI,105,SAS,114,0,regular
22200029,2022-10-22T19:00:00Z,IND,124,DET,115,0,regular
22200030,2022-10-22T19:00:00Z,ORL,120,BOS,126,0,regular
22200031,2022-10-22T20:00:00Z,MIA,112,TOR,109,0,regular
22200032,2022-10-22T20:00:00Z,CHI,96,CLE,128,0,regular
22200033,2022-10-22T20:00:00Z,MIL,125,HOU,105,0,regular
22200034,2022-10-22T20:30:00Z,DAL,137,MEM,96,0,regular
22200035,2022-10-22T21:00:00Z,DEN,122,OKC,117,0,regular
22200036,2022-10-22T22:00:00Z,SAC,109,LAC,111,0,regular
22200037,2022-10-23T15:30:00Z,LAL,104,POR,106,0,regular
22200038,2022-10-23T17:00:00Z,ATL,109,CHA,126,0,regular
22200040,2022-10-23T19:00:00Z,NOP,121,UTA,122,1,regular
22200039,2022-10-23T19:00:00Z,CLE,117,WAS,107,1,regular
22200041,2022-10-23T20:00:00Z,OKC,106,MIN,116,0,regular
22200042,2022-10-23T20:30:00Z,GSW,130,SAC,125,0,regular
22200043,2022-10-23T22:00:00Z,LAC,95,PHX,112,0,regular
22200044,2022-10-24T19:00:00Z,PHI,120,IND,106,0,regular
22200045,2022-10-24T19:30:00Z,MIA,90,TOR,98,0,regular
22200046,2022-10-24T19:30:00Z,NYK,115,ORL,102,0,regular
22200050,2022-10-24T20:00:00Z,MIN,106,SAS,115,0,regular
22200049,2022-10-24T20:00:00Z,MEM,134,BKN,124,0,regular
22200047,2022-10-24T20:00:00Z,CHI,120,BOS,102,0,regular
