gameid,home,team,playerid,name,SEC,PTS,contestedshots,contestedshots2P,contestedshots3P,deflections,chargesdrawn,screenAST,screenASTPTS,looseballsrecoveredOFF,looseballsrecoveredDEF,looseballsrecoveredtotal,OFFboxouts,DEFboxouts,boxoutplayerteamREB,boxoutplayerREB,boxouts
22200001,True,BOS,1627759,Jaylen Brown,2314,35,5,3,2,3,0,0,0,0,0,0,0,0,0,0,0
22200001,True,BOS,1628369,Jayson Tatum,2317,35,5,2,3,8,0,1,2,0,1,1,0,0,0,0,0
22200001,True,BOS,201143,Al Horford,1386,6,4,3,1,2,0,1,2,0,0,0,0,1,1,0,1
22200001,True,BOS,1628401,Derrick White,1442,2,7,5,2,0,1,0,0,0,0,0,0,0,0,0,0
22200001,True,BOS,203935,Marcus Smart,2165,14,2,1,1,1,1,0,0,1,0,1,0,0,0,0,0
22200001,True,BOS,203943,Noah Vonleh,1210,2,2,2,0,0,0,6,13,0,1,1,0,0,0,0,0
22200001,True,BOS,1629684,Grant Williams,1437,15,3,1,2,0,0,2,5,1,0,1,0,0,0,0,0
22200001,True,BOS,1627763,Malcolm Brogdon,1432,16,5,2,3,1,0,0,0,0,0,0,0,0,0,0,0
22200001,True,BOS,201933,Blake Griffin,497,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1
22200001,True,BOS,1630573,Sam Hauser,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22200001,False,PHI,202699,Tobias Harris,2054,18,3,3,0,2,0,0,0,0,0,0,0,1,1,0,1
22200001,False,PHI,200782,P.J. Tucker,1981,6,3,1,2,5,0,2,5,0,0,0,0,0,0,0,0
22200001,False,PHI,203954,Joel Embiid,2236,26,8,6,2,1,0,7,14,0,0,0,0,4,4,3,4
22200001,False,PHI,1630178,Tyrese Maxey,2292,21,3,1,2,2,0,0,0,0,1,1,0,0,0,0,0
22200001,False,PHI,201935,James Harden,2236,35,3,1,2,2,0,0,0,0,0,0,0,1,1,1,1
22200001,False,PHI,1626149,Montrezl Harrell,644,2,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
22200001,False,PHI,1629001,De'Anthony Melton,1233,5,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0
22200001,False,PHI,1627863,Danuel House Jr.,972,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
22200001,False,PHI,1627777,Georges Niang,728,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22200001,False,PHI,1629680,Matisse Thybulle,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22200002,True,GSW,203952,Andrew Wiggins,1768,20,9,4,5,5,0,2,5,0,0,0,0,1,0,0,1
22200002,True,GSW,203110,Draymond Green,1481,4,6,4,2,1,0,4,9,0,0,0,0,5,5,0,5
22200002,True,GSW,1626172,Kevon Looney,1268,7,13,10,3,1,0,5,12,0,0,0,0,2,1,1,2
22200002,True,GSW,202691,Klay Thompson,1179,18,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
22200002,True,GSW,201939,Stephen Curry,1968,33,4,1,3,4,0,0,0,1,0,1,0,0,0,0,0
