gameid,home,team,SEC,estOFFRTG,OFFRTG,estDEFRTG,DEFRTG,estNETRTG,NETRTG,ASTpct,ASTtoTOV,ASTratio,ORBpct,DRBpct,REBpct,estteamTOVpct,TOVratio,effFGpct,TSpct,USGpct,estUSGpct,estpace,pace,paceper40,POS,pie
22200001,True,BOS,14400,126.9,129.9,114.3,119.4,12.5,10.5,0.522,2.18,18.6,0.256,0.81,0.543,11.075,11.3,0.634,0.668,1,0.197,100.82,97.5,81.25,97,0.566
22200001,False,PHI,14400,114.3,119.4,126.9,129.9,-12.5,-10.5,0.4,1.14,13.1,0.19,0.744,0.457,13.683,14.3,0.581,0.634,1,0.192,100.82,97.5,81.25,98,0.434
22200002,True,GSW,14400,105.9,107.0,92.4,97.3,13.6,9.6,0.689,1.72,19.6,0.281,0.754,0.518,15.501,15.7,0.535,0.564,1,0.198,117.06,113.5,94.58,115,0.548
22200002,False,LAL,14400,92.4,97.3,105.9,107.0,-13.6,-9.6,0.575,1.05,15.3,0.246,0.719,0.482,18.644,19.6,0.479,0.519,1,0.197,117.06,113.5,94.58,112,0.452
22200003,True,DET,14400,107.0,111.9,106.5,106.9,0.6,5.0,0.775,2.38,20.9,0.293,0.723,0.486,12.315,12.9,0.5,0.54,1,0.197,103.96,101.5,84.58,101,0.525
22200003,False,ORL,14400,106.5,106.9,107.0,111.9,-0.6,-5.0,0.5,1.17,15.7,0.277,0.707,0.514,17.585,17.6,0.552,0.578,1,0.199,103.96,101.5,84.58,102,0.475
22200004,True,IND,14400,97.9,102.9,108.0,108.6,-10.0,-5.7,0.538,1.4,14.8,0.29,0.647,0.451,13.731,14.4,0.479,0.504,1,0.2,107.4,104.5,87.08,104,0.424
22200004,False,WAS,14400,108.0,108.6,97.9,102.9,10.0,5.7,0.5,1.24,14.9,0.353,0.71,0.549,16.105,16.2,0.516,0.556,1,0.199,107.4,104.5,87.08,105,0.576
22200005,True,ATL,14400,110.8,110.4,101.3,100.9,9.5,9.4,0.667,3.33,21.5,0.128,0.696,0.437,8.526,8.5,0.539,0.582,1,0.201,105.58,106.0,88.33,106,0.572
22200005,False,HOU,14400,101.3,100.9,110.8,110.4,-9.5,-9.4,0.595,1.56,17.2,0.304,0.872,0.563,15.152,15.1,0.474,0.511,1,0.199,105.58,106.0,88.33,106,0.428
22200006,True,BKN,14400,101.4,105.9,123.8,127.5,-22.5,-21.6,0.55,1.38,16.0,0.226,0.571,0.404,15.015,15.7,0.506,0.542,1,0.196,105.78,102.0,85.0,102,0.392
22200006,False,NOP,14400,123.8,127.5,101.4,105.9,22.5,21.6,0.62,2.38,19.7,0.429,0.774,0.596,12.381,12.7,0.549,0.575,1,0.195,105.78,102.0,85.0,102,0.608
22200007,True,MIA,14400,104.5,102.9,107.1,110.5,-2.6,-7.6,0.568,1.11,15.9,0.196,0.696,0.471,18.389,18.1,0.538,0.585,1,0.201,105.82,105.0,87.5,105,0.478
22200007,False,CHI,14400,107.1,110.5,104.5,102.9,2.6,7.6,0.561,1.53,16.0,0.304,0.804,0.529,13.848,14.3,0.511,0.551,1,0.198,105.82,105.0,87.5,105,0.522
22200008,True,TOR,14400,106.8,109.1,107.0,106.1,-0.2,3.0,0.528,1.46,14.4,0.321,0.805,0.532,12.861,13.1,0.494,0.54,1,0.202,99.6,99.0,82.5,99,0.479
22200008,False,CLE,14400,107.0,106.1,106.8,109.1,0.2,-3.0,0.658,1.47,19.4,0.195,0.679,0.468,17.326,17.2,0.558,0.603,1,0.202,99.6,99.0,82.5,99,0.521
22200009,True,MEM,15900,102.6,107.5,101.0,105.7,1.6,1.8,0.643,1.93,17.0,0.4,0.676,0.536,12.487,13.1,0.468,0.487,1,0.198,101.0,96.45,80.38,107,0.529
22200009,False,NYK,15900,101.0,105.7,102.6,107.5,-1.6,-1.8,0.636,2.33,17.8,0.324,0.6,0.464,10.819,11.3,0.445,0.479,1,0.195,101.0,96.45,80.38,106,0.471
22200010,True,MIN,14400,106.0,109.5,101.2,100.9,4.7,8.6,0.641,1.79,16.9,0.3,0.683,0.496,12.901,13.3,0.468,0.53,1,0.201,107.6,106.0,88.33,105,0.548
22200010,False,OKC,14400,101.2,100.9,106.0,109.5,-4.7,-8.6,0.579,1.57,15.2,0.317,0.7,0.504,13.123,13.1,0.455,0.497,1,0.199,107.6,106.0,88.33,107,0.452
22200011,True,SAS,14400,93.4,97.1,122.7,120.6,-29.3,-23.4,0.55,1.47,15.1,0.295,0.667,0.459,13.731,14.3,0.439,0.471,1,0.2,107.18,106.0,88.33,105,0.368
22200011,False,CHA,14400,122.7,120.6,93.4,97.1,29.3,23.4,0.542,1.73,17.9,0.333,0.705,0.541,14.269,14.0,0.58,0.619,1,0.2,107.18,106.0,88.33,107,0.632
22200012,True,UTA,14400,116.4,119.4,100.1,100.0,16.4,19.4,0.643,1.35,18.8,0.409,0.75,0.58,18.932,19.4,0.602,0.636,1,0.201,103.78,102.5,85.42,103,0.585
22200012,False,DEN,14400,100.1,100.0,116.4,119.4,-16.4,-19.4,0.525,1.0,15.8,0.25,0.591,0.42,20.604,20.6,0.512,0.561,1,0.2,103.78,102.5,85.42,102,0.415
22200013,True,PHX,14400,108.4,113.8,108.3,110.5,0.1,3.3,0.625,2.08,19.0,0.255,0.783,0.516,12.161,12.8,0.518,0.565,1,0.197,97.82,94.5,78.75,94,0.515
22200013,False,DAL,14400,108.3,110.5,108.4,113.8,-0.1,-3.3,0.486,1.42,14.3,0.217,0.745,0.484,12.376,12.6,0.56,0.584,1,0.2,97.82,94.5,78.75,95,0.485
22200014,True,SAC,14400,102.5,106.9,112.2,113.9,-9.7,-6.9,0.692,1.69,19.8,0.234,0.736,0.5,15.186,15.8,0.559,0.578,1,0.199,103.94,101.0,84.17,101,0.474
22200014,False,POR,14400,112.2,113.9,102.5,106.9,9.7,6.9,0.513,1.82,15.0,0.264,0.766,0.5,10.73,10.9,0.506,0.561,1,0.199,103.94,101.0,84.17,101,0.526
22200015,True,PHI,14400,94.9,92.6,92.6,94.7,2.3,-2.1,0.472,1.7,14.7,0.125,0.788,0.47,10.785,10.5,0.464,0.496,1,0.201,94.94,95.0,79.17,95,0.503
