gameid,home,team,SEC,PTS,contestedshots,contestedshots2P,contestedshots3P,deflections,chargesdrawn,screenAST,screenASTPTS,looseballsrecoveredOFF,looseballsrecoveredDEF,looseballsrecoveredtotal,OFFboxouts,DEFboxouts,boxoutplayerteamREB,boxoutplayerREB,boxouts
22200001,True,BOS,14400,126,34,19,15,16,2,10,22,2,2,4,0,2,2,0,2
22200001,False,PHI,14400,117,27,15,12,16,0,9,19,0,1,1,0,6,6,4,6
22200002,True,GSW,14400,123,62,29,33,23,1,18,43,1,2,3,3,11,12,6,14
22200002,False,LAL,14400,109,71,35,36,18,1,3,8,5,2,7,2,11,13,7,13
22200003,True,DET,14400,113,59,40,19,15,0,8,19,4,4,8,1,11,10,4,12
22200003,False,ORL,14400,109,60,34,26,11,0,10,26,5,1,6,2,12,11,6,14
22200004,True,IND,14400,107,62,41,21,12,1,8,17,3,2,5,3,5,7,3,8
22200004,False,WAS,14400,114,67,36,31,14,0,9,20,3,2,5,2,11,13,10,13
22200005,True,ATL,14400,117,67,39,28,16,1,13,27,1,5,6,1,8,4,1,9
22200005,False,HOU,14400,107,54,37,17,11,0,11,26,6,2,8,0,11,8,1,11
22200006,True,BKN,14400,108,57,44,13,21,0,14,34,3,4,7,3,9,11,7,12
22200006,False,NOP,14400,130,49,31,18,18,0,10,24,3,1,4,3,11,14,6,14
22200007,True,MIA,14400,108,44,25,19,14,1,8,19,2,3,5,1,6,6,2,7
22200007,False,CHI,14400,116,46,24,22,15,0,13,31,2,2,4,2,3,5,4,5
22200008,True,TOR,14400,108,44,30,14,16,0,4,9,3,5,8,0,4,2,0,4
22200008,False,CLE,14400,105,52,33,19,8,0,7,15,3,2,5,0,7,3,1,7
22200009,True,MEM,15900,115,55,30,25,13,3,8,18,4,0,4,4,6,10,5,10
22200009,False,NYK,15900,112,64,32,32,22,1,6,13,3,3,6,1,6,7,2,7
22200010,True,MIN,14400,115,61,33,28,19,2,6,14,1,4,5,1,5,3,1,6
22200010,False,OKC,14400,108,56,29,27,24,2,6,15,4,4,8,1,10,9,2,11
22200011,True,SAS,14400,102,52,34,18,15,0,2,4,2,3,5,1,2,3,2,3
22200011,False,CHA,14400,129,53,27,26,13,0,7,14,3,2,5,2,4,5,4,6
22200012,True,UTA,14400,123,46,34,12,18,1,8,20,3,3,6,2,4,6,3,6
22200012,False,DEN,14400,102,57,29,28,19,1,6,13,4,6,10,0,6,4,0,6
22200013,True,PHX,14400,107,49,28,21,11,0,2,4,1,2,3,1,5,4,1,6
22200013,False,DAL,14400,105,52,40,12,7,0,5,11,1,5,6,1,2,3,2,3
22200014,True,SAC,14400,108,57,36,21,22,0,8,20,1,4,5,0,7,6,3,7
22200014,False,POR,14400,115,57,25,32,14,1,8,20,3,4,7,0,3,3,2,3
22200015,True,PHI,14400,88,41,23,18,10,1,8,16,1,3,4,0,11,8,1,11
22200015,False,MIL,14400,90,60,42,18,12,0,7,15,1,3,4,2,4,5,0,6
22200016,True,LAL,14400,97,47,29,18,22,1,2,5,1,1,2,0,4,2,2,4
22200016,False,LAC,14400,103,55,28,27,16,1,10,22,1,1,2,2,1,3,2,3
22200017,True,CHA,14400,112,56,41,15,27,0,6,14,3,4,7,1,4,4,1,5
22200017,False,NOP,14400,124,60,41,19,17,0,10,21,2,3,5,2,11,13,9,13
22200018,True,IND,14400,134,56,36,20,15,2,13,30,6,3,9,0,9,5,2,9
22200018,False,SAS,14400,137,58,40,18,15,0,8,18,0,5,5,2,8,8,6,10
22200019,True,WAS,14400,102,47,35,12,13,1,10,20,3,0,3,0,4,4,1,4
22200019,False,CHI,14400,100,50,33,17,16,0,11,23,3,5,8,0,7,7,4,7
22200020,True,ATL,14400,108,48,25,23,17,2,4,10,1,4,5,1,3,3,1,4
22200020,False,ORL,14400,98,53,28,25,11,0,14,29,0,2,2,0,3,3,1,3
22200021,True,BKN,14400,109,48,29,19,9,1,10,23,2,0,2,0,6,5,2,6
22200021,False,TOR,14400,105,51,27,24,16,0,5,13,3,2,5,0,1,1,1,1
22200022,True,MIA,14400,104,49,29,20,10,0,16,34,4,1,5,0,4,4,1,4
22200022,False,BOS,14400,111,53,38,15,6,0,7,17,4,2,6,1,1,2,1,2
22200023,True,NYK,14400,130,54,28,26,15,1,9,19,5,9,14,1,14,11,5,15
22200023,False,DET,14400,106,54,27,27,15,0,9,21,3,3,6,3,9,10,6,12
22200024,True,HOU,14400,122,60,36,24,15,0,8,20,2,2,4,1,7,4,3,8
22200024,False,MEM,14400,129,65,35,30,24,1,11,27,5,2,7,0,7,5,0,7
22200025,True,MIN,15900,126,69,32,37,9,0,12,28,0,3,3,5,5,10,9,10
22200025,False,UTA,15900,132,68,46,22,16,0,10,27,4,5,9,1,4,5,5,5
22200026,True,GSW,14400,123,48,24,24,23,0,5,14,1,2,3,1,5,6,3,6
22200026,False,DEN,14400,128,34,16,18,22,1,6,13,0,0,0,1,3,4,4,4
22200027,True,POR,15900,113,51,38,13,11,0,9,20,2,3,5,0,2,1,0,2
22200027,False,PHX,15900,111,42,28,14,25,3,6,12,3,4,7,1,8,7,2,9
22200028,True,PHI,14400,105,46,28,18,10,1,6,13,0,1,1,0,2,2,1,2
22200028,False,SAS,14400,114,46,30,16,9,1,13,29,2,1,3,2,4,6,4,6
22200029,True,IND,14400,124,61,42,19,19,0,13,28,5,4,9,1,12,7,2,13
22200029,False,DET,14400,115,56,35,21,12,0,7,17,4,4,8,3,8,11,6,11
22200030,True,ORL,14400,120,40,15,25,11,1,14,32,4,3,7,2,1,1,1,3
22200030,False,BOS,14400,126,55,36,19,17,1,15,36,0,1,1,1,8,9,1,9
22200031,True,MIA,14400,112,57,28,29,5,1,9,20,2,2,4,0,7,5,1,7
22200031,False,TOR,14400,109,51,32,19,19,0,2,5,4,5,9,1,2,2,1,3
22200032,True,CHI,14400,96,57,36,21,22,0,8,18,1,2,3,2,5,7,5,7
22200032,False,CLE,14400,128,53,36,17,15,2,10,26,4,1,5,1,3,4,2,4
22200033,True,MIL,14400,125,55,31,24,8,1,4,10,1,1,2,0,9,9,6,9
22200033,False,HOU,14400,105,49,31,18,16,0,8,19,4,2,6,4,4,8,5,8
22200034,True,DAL,14400,137,52,33,19,22,0,8,21,0,3,3,1,8,9,6,9
22200034,False,MEM,14400,96,61,31,30,15,1,6,12,0,0,0,1,6,7,4,7
22200035,True,DEN,14400,122,55,28,27,13,0,7,17,1,2,3,3,1,4,4,4
22200035,False,OKC,14400,117,54,30,24,16,1,2,4,3,1,4,1,7,6,4,8
22200036,True,SAC,14400,109,57,41,16,15,0,8,18,1,2,3,2,3,5,3,5
22200036,False,LAC,14400,111,52,34,18,15,0,8,19,2,8,10,0,7,7,2,7
22200037,True,LAL,14400,104,47,28,19,20,2,4,9,2,3,5,1,6,7,4,7
22200037,False,POR,14400,106,43,30,13,14,2,11,24,3,1,4,2,4,5,2,6
22200038,True,ATL,14400,109,54,37,17,16,1,10,20,0,1,1,2,3,5,2,5
22200038,False,CHA,14400,126,47,25,22,19,0,14,33,2,4,6,1,11,8,5,12
22200039,True,CLE,15900,117,55,38,17,12,1,11,28,4,3,7,2,5,7,5,7
22200039,False,WAS,15900,107,56,38,18,19,0,11,23,0,1,1,0,5,4,0,5
22200040,True,NOP,15900,121,65,37,28,13,1,8,18,3,1,4,1,12,9,4,13
22200040,False,UTA,15900,122,54,41,13,13,1,4,9,4,5,9,0,3,0,0,3
22200041,True,OKC,14400,106,55,33,22,15,3,4,8,5,5,10,0,6,6,4,6
22200041,False,MIN,14400,116,48,24,24,17,0,6,12,2,1,3,0,7,7,3,7
22200042,True,GSW,14400,130,64,35,29,10,0,15,40,1,5,6,0,9,9,4,9
22200042,False,SAC,14400,125,51,24,27,17,0,7,16,1,5,6,0,3,3,2,3
22200043,True,LAC,14400,95,45,25,20,25,1,3,8,3,1,4,1,6,7,2,7
22200043,False,PHX,14400,112,54,35,19,17,0,1,2,3,2,5,1,7,8,5,8
22200044,True,PHI,14400,120,45,23,22,17,2,6,15,2,3,5,3,9,9,6,12
22200044,False,IND,14400,106,49,26,23,15,0,9,21,2,1,3,4,7,11,9,11
22200045,True,MIA,14400,90,48,33,15,13,3,6,13,4,3,7,3,12,10,6,15
22200045,False,TOR,14400,98,52,33,19,19,0,4,9,1,1,2,2,13,15,8,15
22200046,True,NYK,14400,115,50,28,22,20,0,11,27,2,2,4,5,19,21,7,24
22200046,False,ORL,14400,102,43,20,23,13,1,9,19,0,3,3,2,10,11,4,12
22200047,True,CHI,14400,120,64,30,34,21,0,11,24,1,0,1,2,4,6,5,6
22200047,False,BOS,14400,102,50,39,11,8,1,6,15,2,3,5,0,3,3,0,3
22200048,True,HOU,14400,114,56,35,21,12,1,4,9,1,1,2,3,4,7,6,7
22200048,False,UTA,14400,108,64,37,27,14,0,7,16,2,3,5,2,2,3,3,4
22200049,True,MEM,14400,134,63,41,22,7,0,14,35,3,3,6,1,3,4,3,4
22200049,False,BKN,14400,124,54,31,23,8,0,20,43,1,4,5,1,4,5,3,5
22200050,True,MIN,14400,106,53,34,19,14,0,13,31,2,2,4,0,3,3,0,3
22200050,False,SAS,14400,115,51,34,17,23,1,9,19,3,2,5,1,3,4,2,4
22200051,True,POR,14400,135,48,29,19,15,2,16,42,0,0,0,1,2,3,3,3
22200051,False,DEN,14400,110,46,21,25,13,0,8,19,3,3,6,0,7,5,1,7
22200052,True,WAS,14400,120,47,31,16,17,1,6,12,1,1,2,0,17,17,9,17
22200052,False,DET,14400,99,42,24,18,12,0,8,16,3,2,5,4,4,8,4,8
