gameid,home,team,SEC,PTSoffTOV,2ndPTS,FBPTS,PIP,oppPTSoffTOV,opp2ndPTS,oppFBPTS,oppPIP,BLK,BLKA,PF,foulsdrawn
22200001,True,BOS,14400,22,4,24,44,15,8,2,38,3,3,24,25
22200001,False,PHI,14400,15,8,2,38,22,4,24,44,3,3,25,24
22200002,True,GSW,14400,27,10,17,38,17,4,27,60,4,4,23,18
22200002,False,LAL,14400,17,4,27,60,27,10,17,38,4,4,18,23
22200003,True,DET,14400,24,16,18,46,15,16,23,56,4,5,21,24
22200003,False,ORL,14400,15,16,23,56,24,16,18,46,5,4,24,21
22200004,True,IND,14400,16,17,21,34,10,14,16,58,5,10,20,19
22200004,False,WAS,14400,10,14,16,58,16,17,21,34,10,5,19,20
22200005,True,ATL,14400,28,8,28,56,13,14,10,60,5,3,18,20
22200005,False,HOU,14400,13,14,10,60,28,8,28,56,3,5,20,18
22200006,True,BKN,14400,17,4,18,46,26,36,13,62,10,4,25,21
22200006,False,NOP,14400,26,36,13,62,17,4,18,46,4,10,21,25
22200007,True,MIA,14400,12,15,8,48,17,11,8,32,2,6,24,26
22200007,False,CHI,14400,17,11,8,32,12,15,8,48,6,2,26,24
22200008,True,TOR,14400,25,18,20,36,20,4,7,52,4,5,23,21
22200008,False,CLE,14400,20,4,7,52,25,18,20,36,5,4,21,23
22200009,True,MEM,15900,11,20,21,48,16,19,19,68,7,5,17,26
22200009,False,NYK,15900,16,19,19,68,11,20,21,48,5,7,26,17
22200010,True,MIN,14400,18,24,10,50,21,22,17,38,5,6,21,26
22200010,False,OKC,14400,21,22,17,38,18,24,10,50,6,5,26,21
22200011,True,SAS,14400,22,12,10,58,25,15,15,54,8,10,19,20
22200011,False,CHA,14400,25,15,15,54,22,12,10,58,10,8,20,19
22200012,True,UTA,14400,34,26,10,42,25,10,19,68,1,3,21,23
22200012,False,DEN,14400,25,10,19,68,34,26,10,42,3,1,23,21
22200013,True,PHX,14400,18,13,9,56,14,9,9,36,5,4,29,22
22200013,False,DAL,14400,14,9,9,36,18,13,9,56,4,5,22,29
22200014,True,SAC,14400,17,16,19,38,18,19,20,56,5,2,25,17
22200014,False,POR,14400,18,19,20,56,17,16,19,38,2,5,17,25
22200015,True,PHI,14400,13,5,14,48,12,7,17,30,5,6,14,16
22200015,False,MIL,14400,12,7,17,30,13,5,14,48,6,5,16,14
22200016,True,LAL,14400,21,8,15,40,10,14,16,36,5,7,24,24
22200016,False,LAC,14400,10,14,16,36,21,8,15,40,7,5,24,24
22200017,True,CHA,14400,18,14,15,48,24,16,15,62,4,7,24,14
22200017,False,NOP,14400,24,16,15,62,18,14,15,48,7,4,14,24
22200018,True,IND,14400,19,22,20,70,20,15,20,42,6,4,34,22
22200018,False,SAS,14400,20,15,20,42,19,22,20,70,4,6,22,34
22200019,True,WAS,14400,17,4,13,44,16,15,6,34,8,3,22,15
22200019,False,CHI,14400,16,15,6,34,17,4,13,44,3,8,15,22
22200020,True,ATL,14400,24,9,26,44,11,12,8,46,2,7,22,19
22200020,False,ORL,14400,11,12,8,46,24,9,26,44,7,2,19,22
22200021,True,BKN,14400,17,13,9,38,24,9,18,46,13,4,19,21
22200021,False,TOR,14400,24,9,18,46,17,13,9,38,4,13,21,19
22200022,True,MIA,14400,23,14,6,46,18,21,12,52,3,11,18,23
22200022,False,BOS,14400,18,21,12,52,23,14,6,46,11,3,23,18
22200023,True,NYK,14400,21,17,20,58,14,18,15,52,6,2,26,21
22200023,False,DET,14400,14,18,15,52,21,17,20,58,2,6,21,26
22200024,True,HOU,14400,16,23,11,50,16,17,16,48,6,10,22,21
22200024,False,MEM,14400,16,17,16,48,16,23,11,50,10,6,21,22
22200025,True,MIN,15900,16,27,29,64,23,23,24,52,7,8,22,23
22200025,False,UTA,15900,23,23,24,52,16,27,29,64,8,7,23,22
22200026,True,GSW,14400,27,12,11,48,30,9,16,44,3,2,23,22
22200026,False,DEN,14400,30,9,16,44,27,12,11,48,2,3,22,23
22200027,True,POR,15900,18,11,21,48,23,12,16,50,5,1,19,29
22200027,False,PHX,15900,23,12,16,50,18,11,21,48,1,5,29,19
22200028,True,PHI,14400,19,14,17,46,13,20,12,42,5,7,15,20
22200028,False,SAS,14400,13,20,12,42,19,14,17,46,7,5,20,15
22200029,True,IND,14400,15,21,12,48,15,18,17,36,15,3,21,20
22200029,False,DET,14400,15,18,17,36,15,21,12,48,3,15,20,21
22200030,True,ORL,14400,10,22,14,42,14,6,18,42,7,6,24,21
22200030,False,BOS,14400,14,6,18,42,10,22,14,42,6,7,21,24
22200031,True,MIA,14400,7,13,11,50,16,20,11,40,2,5,26,25
22200031,False,TOR,14400,16,20,11,40,7,13,11,50,5,2,25,26
22200032,True,CHI,14400,20,8,6,42,14,12,22,58,7,5,19,17
22200032,False,CLE,14400,14,12,22,58,20,8,6,42,5,7,17,19
22200033,True,MIL,14400,19,11,25,58,16,14,9,38,10,6,22,22
22200033,False,HOU,14400,16,14,9,38,19,11,25,58,6,10,22,22
22200034,True,DAL,14400,24,27,16,46,11,11,18,44,7,8,24,29
22200034,False,MEM,14400,11,11,18,44,24,27,16,46,8,7,29,24
22200035,True,DEN,14400,10,20,5,38,21,11,18,50,6,5,21,27
22200035,False,OKC,14400,21,11,18,50,10,20,5,38,5,6,27,21
22200036,True,SAC,14400,13,13,14,40,15,9,9,46,5,3,21,21
22200036,False,LAC,14400,15,9,9,46,13,13,14,40,3,5,21,21
22200037,True,LAL,14400,17,10,19,66,19,14,15,38,9,5,24,20
22200037,False,POR,14400,19,14,15,38,17,10,19,66,5,9,20,24
22200038,True,ATL,14400,18,22,7,52,17,23,11,62,9,6,21,24
22200038,False,CHA,14400,17,23,11,62,18,22,7,52,6,9,24,21
22200039,True,CLE,15900,28,24,15,48,19,14,15,54,5,4,20,24
22200039,False,WAS,15900,19,14,15,54,28,24,15,48,4,5,24,20
22200040,True,NOP,15900,15,17,28,64,21,15,13,56,6,6,22,20
22200040,False,UTA,15900,21,15,13,56,15,17,28,64,6,6,20,22
22200041,True,OKC,14400,19,19,19,54,14,17,11,60,4,3,15,17
22200041,False,MIN,14400,14,17,11,60,19,19,19,54,3,4,17,15
22200042,True,GSW,14400,25,10,24,48,23,12,31,64,5,2,21,29
22200042,False,SAC,14400,23,12,31,64,25,10,24,48,2,5,29,21
22200043,True,LAC,14400,12,8,11,46,18,16,7,46,0,3,18,18
22200043,False,PHX,14400,18,16,7,46,12,8,11,46,3,0,18,18
22200044,True,PHI,14400,19,12,7,26,7,10,24,50,7,4,20,23
22200044,False,IND,14400,7,10,24,50,19,12,7,26,4,7,23,20
22200045,True,MIA,14400,13,11,13,34,15,12,27,36,3,6,15,22
22200045,False,TOR,14400,15,12,27,36,13,11,13,34,6,3,22,15
22200046,True,NYK,14400,20,27,8,56,20,24,8,48,3,4,24,23
22200046,False,ORL,14400,20,24,8,48,20,27,8,56,4,3,23,24
22200047,True,CHI,14400,18,16,14,46,16,12,10,34,6,7,18,24
22200047,False,BOS,14400,16,12,10,34,18,16,14,46,7,6,24,18
22200048,True,HOU,14400,19,19,6,52,13,14,8,66,7,10,20,27
22200048,False,UTA,14400,13,14,8,66,19,19,6,52,10,7,27,20
22200049,True,MEM,14400,16,16,16,58,12,14,15,54,3,7,22,30
22200049,False,BKN,14400,12,14,15,54,16,16,16,58,7,3,30,22
22200050,True,MIN,14400,20,19,14,46,23,15,24,60,5,0,18,21
22200050,False,SAS,14400,23,15,24,60,20,19,14,46,0,5,21,18
22200051,True,POR,14400,11,18,26,62,11,15,13,60,6,1,15,28
22200051,False,DEN,14400,11,15,13,60,11,18,26,62,1,6,28,15
22200052,True,WAS,14400,15,19,18,54,12,18,7,44,7,1,21,26
22200052,False,DET,14400,12,18,7,44,15,19,18,54,1,7,26,21
22200053,True,NOP,14400,18,10,11,56,20,14,6,54,3,5,21,16
22200053,False,DAL,14400,20,14,6,54,18,10,11,56,5,3,16,21
22200054,True,OKC,14400,23,26,17,62,3,12,9,48,8,14,13,18
22200054,False,LAC,14400,3,12,9,48,23,26,17,62,14,8,18,13
22200055,True,PHX,14400,20,17,11,62,17,17,14,48,4,7,19,28
22200055,False,GSW,14400,17,17,14,48,20,17,11,62,7,4,28,19
22200056,True,CLE,14400,19,19,4,46,14,9,6,54,3,6,22,29
22200056,False,ORL,14400,14,9,6,54,19,19,4,46,6,3,29,22
22200057,True,DET,14400,14,15,8,42,12,9,11,56,6,12,25,20
22200057,False,ATL,14400,12,9,11,56,14,15,8,42,12,6,20,25
22200058,True,NYK,15900,14,21,5,74,25,17,12,56,11,5,24,24
22200058,False,CHA,15900,25,17,12,56,14,21,5,74,5,11,24,24
22200059,True,TOR,14400,21,9,29,46,13,3,17,42,5,2,21,12
22200059,False,PHI,14400,13,3,17,42,21,9,29,46,2,5,12,21
22200060,True,MIL,14400,15,13,7,48,14,11,20,42,12,6,22,24
22200060,False,BKN,14400,14,11,20,42,15,13,7,48,6,12,24,22
22200061,True,CHI,14400,22,8,17,46,18,4,23,36,5,12,25,18
22200061,False,IND,14400,18,4,23,36,22,8,17,46,12,5,18,25
22200062,True,MIN,14400,22,0,8,54,20,15,6,48,6,2,19,18
22200062,False,SAS,14400,20,15,6,48,22,0,8,54,2,6,18,19
22200063,True,UTA,14400,20,12,25,50,13,18,8,48,5,2,28,30
22200063,False,HOU,14400,13,18,8,48,20,12,25,50,2,5,30,28
22200064,True,DEN,14400,18,15,35,60,14,8,18,56,5,4,17,16
22200064,False,LAL,14400,14,8,18,56,18,15,35,60,4,5,16,17
22200065,True,POR,14400,23,12,14,40,29,12,29,52,4,2,17,22
22200065,False,MIA,14400,29,12,29,52,23,12,14,40,2,4,22,17
22200066,True,BKN,15900,18,16,31,54,22,4,10,40,6,4,28,23
22200066,False,DAL,15900,22,4,10,40,18,16,31,54,4,6,23,28
22200067,True,OKC,14400,31,21,13,54,21,11,21,68,4,5,21,17
22200067,False,LAC,14400,21,11,21,68,31,21,13,54,5,4,17,21
22200068,True,GSW,14400,18,27,12,48,15,8,19,34,2,5,13,15
22200068,False,MIA,14400,15,8,19,34,18,27,12,48,5,2,15,13
22200069,True,SAC,14400,20,15,14,54,19,12,12,66,2,3,20,18
22200069,False,MEM,14400,19,12,12,66,20,15,14,54,3,2,18,20
22200070,True,DET,14400,10,17,6,54,11,18,8,70,4,8,22,26
22200070,False,ATL,14400,11,18,8,70,10,17,6,54,8,4,26,22
22200071,True,ORL,14400,16,3,8,56,11,15,14,38,5,4,22,18
22200071,False,CHA,14400,11,15,14,38,16,3,8,56,4,5,18,22
22200072,True,BOS,15900,13,9,15,54,24,14,12,48,2,2,27,28
22200072,False,CLE,15900,24,14,12,48,13,9,15,54,2,2,28,27
22200073,True,TOR,14400,14,15,16,38,25,11,15,44,5,6,15,20
22200073,False,PHI,14400,25,11,15,44,14,15,16,38,6,5,20,15
22200074,True,WAS,14400,19,13,5,38,19,17,12,38,3,7,23,19
22200074,False,IND,14400,19,17,12,38,19,13,5,38,7,3,19,23
22200075,True,MIL,14400,17,20,22,50,2,17,13,46,8,5,23,19
22200075,False,NYK,14400,2,17,13,46,17,20,22,50,5,8,19,23
22200076,True,MIN,14400,25,8,22,46,9,12,16,56,8,5,21,21
22200076,False,LAL,14400,9,12,16,56,25,8,22,46,5,8,21,21
22200077,True,SAS,14400,10,12,10,58,30,22,25,52,3,3,17,19
22200077,False,CHI,14400,30,22,25,52,10,12,10,58,3,3,19,17
22200078,True,DEN,14400,7,19,24,34,16,9,20,54,4,8,18,30
22200078,False,UTA,14400,16,9,20,54,7,19,24,34,8,4,30,18
22200079,True,PHX,14400,17,18,22,60,17,8,11,36,7,1,18,21
22200079,False,NOP,14400,17,8,11,36,17,18,22,60,1,7,21,18
22200080,True,POR,14400,21,18,18,64,13,15,21,48,6,6,19,18
22200080,False,HOU,14400,13,15,21,48,21,18,18,64,6,6,18,19
22200081,True,SAC,14400,14,10,17,52,28,19,8,46,6,3,29,25
22200081,False,MIA,14400,28,19,8,46,14,10,17,52,3,6,25,29
22200082,True,CHA,15900,9,23,4,54,13,18,6,48,2,6,14,31
22200082,False,GSW,15900,13,18,6,48,9,23,4,54,6,2,31,14
22200083,True,BKN,14400,14,3,9,40,11,14,19,34,9,1,20,25
22200083,False,IND,14400,11,14,19,34,14,3,9,40,1,9,25,20
22200084,True,CHI,14400,29,9,4,38,24,8,11,42,3,6,20,22
22200084,False,PHI,14400,24,8,11,42,29,9,4,38,6,3,22,20
22200085,True,MIL,14400,9,20,5,44,16,15,14,46,5,2,18,23
22200085,False,ATL,14400,16,15,14,46,9,20,5,44,2,5,23,18
22200086,True,DAL,15900,13,11,9,54,17,8,18,70,5,6,30,29
22200086,False,OKC,15900,17,8,18,70,13,11,9,54,6,5,29,30
22200087,True,UTA,14400,31,11,19,52,31,11,26,72,6,5,17,26
22200087,False,MEM,14400,31,11,26,72,31,11,19,52,5,6,26,17
22200088,True,LAC,14400,21,16,12,34,16,14,21,54,6,1,15,15
22200088,False,NOP,14400,16,14,21,54,21,16,12,34,1,6,15,15
22200089,True,BOS,14400,12,4,7,28,17,11,10,48,5,6,15,20
22200089,False,WAS,14400,17,11,10,48,12,4,7,28,6,5,20,15
22200090,True,CLE,14400,18,7,14,32,18,11,28,64,5,2,22,25
22200090,False,NYK,14400,18,11,28,64,18,7,14,32,2,5,25,22
22200091,True,DET,14400,16,20,13,34,15,11,6,44,3,4,25,24
22200091,False,GSW,14400,15,11,6,44,16,20,13,34,4,3,24,25
22200092,True,SAS,14400,10,20,16,34,12,18,17,64,7,7,21,23
22200092,False,MIN,14400,12,18,17,64,10,20,16,34,7,7,23,21
22200093,True,DAL,14400,13,7,12,54,4,20,8,44,1,5,22,23
22200093,False,ORL,14400,4,20,8,44,13,7,12,54,5,1,23,22
22200094,True,PHX,14400,24,11,19,52,21,30,11,54,8,1,22,25
22200094,False,HOU,14400,21,30,11,54,24,11,19,52,1,8,25,22
22200095,True,LAL,14400,11,25,14,48,6,18,9,44,5,8,17,15
22200095,False,DEN,14400,6,18,9,44,11,25,14,48,8,5,15,17
22200096,True,CHA,14400,25,11,8,54,25,22,10,34,6,4,26,19
22200096,False,SAC,14400,25,22,10,34,25,11,8,54,4,6,19,26
22200097,True,WAS,14400,15,10,18,50,16,0,17,58,4,3,18,20
22200097,False,PHI,14400,16,0,17,58,15,10,18,50,3,4,20,18
22200098,True,BKN,14400,26,6,18,50,23,12,12,54,9,5,18,24
22200098,False,IND,14400,23,12,12,54,26,6,18,50,5,9,24,18
22200099,True,TOR,14400,24,13,43,58,7,16,10,46,9,4,22,27
22200099,False,ATL,14400,7,16,10,46,24,13,43,58,4,9,27,22
22200100,True,MIL,14400,18,18,11,50,17,20,11,54,5,3,21,24
22200100,False,DET,14400,17,20,11,54,18,18,11,50,3,5,24,21
22200101,True,UTA,14400,20,14,4,40,17,22,10,58,6,4,30,17
22200101,False,MEM,14400,17,22,10,58,20,14,4,40,4,6,17,30
22200102,True,LAC,14400,21,3,22,48,14,16,10,50,10,8,18,16
22200102,False,HOU,14400,14,16,10,50,21,3,22,48,8,10,16,18
22200103,True,BKN,14400,14,6,7,44,26,20,15,32,7,4,20,13
22200103,False,CHI,14400,26,20,15,32,14,6,7,44,4,7,13,20
22200104,True,MIA,14400,28,12,3,42,17,13,5,32,3,5,16,22
22200104,False,GSW,14400,17,13,5,32,28,12,3,42,5,3,22,16
22200105,True,OKC,14400,30,14,12,58,16,22,10,56,9,10,17,14
22200105,False,ORL,14400,16,22,10,56,30,14,12,58,10,9,14,17
22200106,True,PHX,14400,23,8,12,28,15,22,6,42,8,4,20,24
22200106,False,MIN,14400,15,22,6,42,23,8,12,28,4,8,24,20
22200107,True,CLE,15900,15,8,14,56,6,8,19,42,4,9,23,24
22200107,False,BOS,15900,6,8,19,42,15,8,14,56,9,4,24,23
22200108,True,PHI,14400,7,14,11,38,14,9,2,68,1,9,25,18
22200108,False,WAS,14400,14,9,2,68,7,14,11,38,9,1,18,25
22200109,True,MIA,14400,13,11,5,54,12,11,13,52,5,3,20,18
22200109,False,SAC,14400,12,11,13,52,13,11,5,54,3,5,18,20
22200110,True,NYK,14400,13,11,12,50,26,18,24,48,9,4,19,18
22200110,False,ATL,14400,26,18,24,48,13,11,12,50,4,9,18,19
22200111,True,CHI,14400,29,12,12,40,17,21,26,48,9,12,18,14
22200111,False,CHA,14400,17,21,26,48,29,12,12,40,12,9,14,18
22200112,True,HOU,14400,23,16,11,44,21,2,13,40,5,6,22,20
22200112,False,LAC,14400,21,2,13,40,23,16,11,44,6,5,20,22
22200113,True,MIL,14400,28,24,14,56,16,4,13,30,5,3,16,22
22200113,False,DET,14400,16,4,13,30,28,24,14,56,3,5,22,16
22200114,True,SAS,14400,8,21,12,40,31,14,41,76,6,6,20,17
22200114,False,TOR,14400,31,14,41,76,8,21,12,40,6,6,17,20
22200115,True,DAL,14400,26,9,11,60,19,11,10,48,4,1,14,17
22200115,False,UTA,14400,19,11,10,48,26,9,11,60,1,4,17,14
22200116,True,POR,14400,16,21,10,40,20,6,9,44,3,5,17,19
22200116,False,MEM,14400,20,6,9,44,16,21,10,40,5,3,19,17
22200117,True,LAL,15900,22,16,20,66,19,12,17,64,8,5,17,20
22200117,False,NOP,15900,19,12,17,64,22,16,20,66,5,8,20,17
22200118,True,ORL,14400,23,17,7,48,27,15,13,52,6,3,22,32
22200118,False,GSW,14400,27,15,13,52,23,17,7,48,3,6,32,22
22200119,True,OKC,14400,21,8,14,72,16,10,16,46,5,2,19,15
22200119,False,DEN,14400,16,10,16,46,21,8,14,72,2,5,15,19
22200120,True,DET,14400,12,7,12,24,28,11,9,60,6,13,22,15
22200120,False,CLE,14400,28,11,9,60,12,7,12,24,13,6,15,22
22200121,True,IND,14400,23,9,25,46,20,11,9,36,5,2,19,22
22200121,False,MIA,14400,20,11,9,36,23,9,25,46,2,5,22,19
22200122,True,PHI,14400,21,20,19,42,22,7,21,52,8,8,25,21
22200122,False,NYK,14400,22,7,21,52,21,20,19,42,8,8,21,25
22200123,True,WAS,14400,5,8,10,40,15,15,10,60,3,7,15,19
22200123,False,BKN,14400,15,15,10,60,5,8,10,40,7,3,19,15
22200124,True,BOS,14400,21,11,3,52,17,10,17,34,7,5,23,28
22200124,False,CHI,14400,17,10,17,34,21,11,3,52,5,7,28,23
22200125,True,MEM,14400,22,20,21,60,15,11,19,42,10,7,20,17
22200125,False,CHA,14400,15,11,19,42,22,20,21,60,7,10,17,20
22200126,True,SAS,14400,20,8,14,56,15,2,17,44,2,5,17,25
22200126,False,LAC,14400,15,2,17,44,20,8,14,56,5,2,25,17
22200127,True,DAL,14400,26,10,17,50,27,25,15,48,3,4,21,22
22200127,False,TOR,14400,27,25,15,48,26,10,17,50,4,3,22,21
