gameid,home,team,SEC,DIST,REBchancesOFF,REBchancesDEF,REBchancestotal,touches,2ndAST,FTAST,passes,AST,contestedFGM,contestedFGA,contestedFGpct,uncontestedFGM,uncontestedFGA,uncontestedFGpct,FGpct,defendedatrimFGM,defendedatrimFGA,defendedatrimFGpct
22200001,True,BOS,14400,16.61,18,51,67,376,3,2,263,24,19,32,0.594,27,50,0.54,0.561,12,18,0.667
22200001,False,PHI,14400,17.02,20,37,54,381,4,2,263,16,16,28,0.571,24,52,0.462,0.5,17,24,0.708
22200002,True,GSW,14400,18.3,26,69,92,438,7,3,304,31,15,38,0.395,30,61,0.492,0.455,23,33,0.697
22200002,False,LAL,14400,18.38,29,64,90,432,5,2,296,23,20,33,0.606,20,60,0.333,0.426,16,30,0.533
22200003,True,DET,14400,17.82,30,47,73,428,4,4,298,31,18,39,0.462,22,55,0.4,0.426,19,33,0.576
22200003,False,ORL,14400,18.01,30,61,89,380,2,0,254,21,20,39,0.513,22,47,0.468,0.488,18,36,0.5
22200004,True,IND,14400,18.97,34,61,93,422,1,6,292,21,17,45,0.378,22,52,0.423,0.402,24,37,0.649
22200004,False,WAS,14400,18.38,29,67,93,420,2,3,292,21,23,42,0.548,19,49,0.388,0.457,14,28,0.5
22200005,True,ATL,14400,17.65,10,62,72,342,1,5,220,30,23,41,0.561,22,49,0.449,0.5,23,44,0.523
22200005,False,HOU,14400,17.65,38,62,98,414,6,3,285,25,18,42,0.429,24,55,0.436,0.429,18,24,0.75
22200006,True,BKN,14400,18.13,24,53,73,400,2,3,275,22,17,33,0.515,23,56,0.411,0.449,25,45,0.556
22200006,False,NOP,14400,18.42,43,56,95,439,4,1,299,31,29,58,0.5,21,44,0.477,0.49,16,25,0.64
22200007,True,MIA,14400,18.79,24,65,85,470,2,4,342,21,14,32,0.438,23,48,0.479,0.463,12,22,0.545
22200007,False,CHI,14400,18.53,29,51,77,466,1,3,337,23,17,31,0.548,24,62,0.387,0.441,17,26,0.654
22200008,True,TOR,14400,17.74,31,50,79,369,5,1,252,19,13,38,0.342,23,48,0.479,0.419,19,25,0.76
22200008,False,CLE,14400,17.61,19,60,77,393,2,3,275,25,19,27,0.704,19,50,0.38,0.494,10,22,0.455
22200009,True,MEM,15900,20.14,47,77,120,461,3,3,318,27,14,42,0.333,28,66,0.424,0.389,22,33,0.667
22200009,False,NYK,15900,20.15,32,75,104,431,0,0,297,28,20,45,0.444,24,64,0.375,0.404,15,26,0.577
22200010,True,MIN,14400,18.48,25,67,89,449,3,3,320,25,23,45,0.511,16,49,0.327,0.415,15,26,0.577
22200010,False,OKC,14400,18.39,37,69,102,446,4,3,312,22,15,34,0.441,23,65,0.354,0.384,22,34,0.647
22200011,True,SAS,14400,19.66,43,51,91,437,2,4,308,22,21,40,0.525,19,58,0.328,0.404,20,36,0.556
22200011,False,CHA,14400,19.25,28,70,97,395,4,0,265,26,18,40,0.45,30,53,0.566,0.511,18,28,0.643
22200012,True,UTA,14400,18.02,27,41,67,421,4,2,292,27,15,27,0.556,27,56,0.482,0.506,28,38,0.737
22200012,False,DEN,14400,17.48,21,51,69,434,3,3,307,21,29,49,0.592,11,34,0.324,0.482,15,23,0.652
22200013,True,PHX,14400,17.17,23,49,66,371,2,0,255,25,19,33,0.576,21,52,0.404,0.471,11,21,0.524
22200013,False,DAL,14400,16.96,18,62,79,364,3,3,250,17,16,30,0.533,19,45,0.422,0.467,18,26,0.692
22200014,True,SAC,14400,18.71,21,63,80,451,6,2,333,27,15,31,0.484,24,54,0.444,0.459,20,34,0.588
22200014,False,POR,14400,18.2,24,58,81,394,3,2,270,20,21,47,0.447,18,41,0.439,0.443,17,24,0.708
22200015,True,PHI,14400,16.89,18,63,80,347,1,1,235,17,19,38,0.5,17,45,0.378,0.434,11,15,0.733
22200015,False,MIL,14400,17.45,20,54,72,376,3,0,264,24,13,22,0.591,21,62,0.339,0.405,17,27,0.63
22200016,True,LAL,14400,17.71,22,48,67,398,5,3,271,23,18,35,0.514,15,59,0.254,0.351,10,15,0.667
22200016,False,LAC,14400,17.73,28,75,99,367,0,1,245,18,17,30,0.567,20,50,0.4,0.463,17,30,0.567
22200017,True,CHA,14400,18.85,31,50,80,399,2,1,273,30,15,39,0.385,29,58,0.5,0.454,16,27,0.593
22200017,False,NOP,14400,18.42,33,61,94,410,3,5,279,23,24,45,0.533,18,44,0.409,0.472,17,26,0.654
22200018,True,IND,14400,19.86,33,51,81,459,3,3,324,32,24,46,0.522,26,57,0.456,0.49,16,24,0.667
22200018,False,SAS,14400,19.56,21,58,78,447,6,2,315,34,19,39,0.487,25,42,0.595,0.543,28,42,0.667
22200019,True,WAS,14400,17.72,14,50,62,418,4,3,302,26,20,33,0.606,21,47,0.447,0.513,12,22,0.545
22200019,False,CHI,14400,17.4,26,45,71,429,3,3,311,19,14,34,0.412,19,45,0.422,0.418,13,22,0.591
22200020,True,ATL,14400,17.62,20,56,74,355,0,3,235,26,16,34,0.471,24,55,0.436,0.449,12,18,0.667
22200020,False,ORL,14400,18.14,21,61,82,397,1,4,277,16,16,32,0.5,17,48,0.354,0.413,19,23,0.826
22200021,True,BKN,14400,17.25,25,48,69,397,3,3,279,26,15,37,0.405,23,43,0.535,0.475,18,23,0.783
22200021,False,TOR,14400,17.97,20,48,63,382,2,1,261,25,21,38,0.553,20,46,0.435,0.488,13,20,0.65
22200022,True,MIA,14400,17.73,32,39,71,395,5,2,277,23,17,38,0.447,25,54,0.463,0.457,19,28,0.679
22200022,False,BOS,14400,16.5,17,56,72,410,4,1,293,17,18,34,0.529,23,44,0.523,0.519,16,30,0.533
22200023,True,NYK,14400,18.65,21,62,81,422,3,3,299,29,16,27,0.593,34,68,0.5,0.526,22,30,0.733
22200023,False,DET,14400,18.68,31,59,86,419,0,1,287,26,16,33,0.485,23,57,0.404,0.433,23,28,0.821
22200024,True,HOU,14400,17.59,34,62,94,399,1,2,272,18,20,41,0.488,24,52,0.462,0.473,18,33,0.545
22200024,False,MEM,14400,18.3,47,57,97,393,4,6,260,26,19,42,0.452,26,56,0.464,0.459,19,35,0.543
22200025,True,MIN,15900,19.65,44,77,115,428,1,3,281,20,21,50,0.42,29,57,0.509,0.458,19,33,0.576
22200025,False,UTA,15900,19.8,39,66,103,472,5,3,329,39,16,43,0.372,33,68,0.485,0.441,25,46,0.543
22200026,True,GSW,14400,17.9,21,46,65,460,6,4,332,34,20,32,0.625,22,56,0.393,0.477,19,31,0.613
22200026,False,DEN,14400,17.98,31,45,75,448,2,3,320,30,20,38,0.526,26,48,0.542,0.535,22,26,0.846
22200027,True,POR,15900,19.05,29,64,92,405,1,2,276,14,19,38,0.5,17,44,0.386,0.439,18,28,0.643
22200027,False,PHX,15900,19.28,29,52,78,448,5,2,322,31,15,31,0.484,28,63,0.444,0.457,19,32,0.594
22200028,True,PHI,14400,17.37,32,52,82,406,7,4,288,26,17,37,0.459,20,47,0.426,0.44,13,19,0.684
